"sample", "xs"
"TTJets_MS_mass166_5", 252.9
"TTJets_MS_mass169_5", 252.9
"TTJets_MS_mass175_5", 252.9
"TTJets_MS_mass178_5", 252.9
"TTJets_MS_matchingdown", 252.9
"TTJets_MS_matchingdown_v1", 252.9
"TTJets_MS_matchingdown_v2", 252.9
"TTJets_MS_matchingup", 252.9
"TTJets_MS_scaledown", 252.9
"TTJets_MS_scaleup", 252.9
"TTJets_MS", 252.9
"WJetsToLNu_matchingup", 37509.0
"WJetsToLNu_matchingdown", 37509.0
"WJetsToLNu_scaleup", 37509.0
"WJetsToLNu_scaledown", 37509.0
"W1JetsToLNu", 6662.7828947368425
"W1JetsToLNu2", 6662.7828947368425
"W1JetsToLNu_matchingdown", 6662.7828947368425
"W1JetsToLNu_matchingup", 6662.7828947368425
"W1JetsToLNu_scaleup", 6662.7828947368425
"W1JetsToLNu_scaledown", 6662.7828947368425
"W2JetsToLNu", 2159.2351973684213
"W2JetsToLNu2", 2159.2351973684213
"W2JetsToLNu_matchingdown", 2159.2351973684213
"W2JetsToLNu_matchingup", 2159.2351973684213
"W2JetsToLNu_scaleup", 2159.2351973684213
"W2JetsToLNu_scaledown", 2159.2351973684213
"W3JetsToLNu", 640.3674671052631
"W3JetsToLNu2", 640.3674671052631
"W3JetsToLNu_matchingdown", 640.3674671052631
"W3JetsToLNu_matchingup", 640.3674671052631
"W3JetsToLNu_scaleup", 640.3674671052631
"W3JetsToLNu_scaledown", 640.3674671052631
"W4JetsToLNu", 264.04361842105266
"W4JetsToLNu2", 264.04361842105266
"W4JetsToLNu_matchingdown", 264.04361842105266
"W4JetsToLNu_matchingup", 264.04361842105266
"W4JetsToLNu_scaleup", 264.04361842105266
"W4JetsToLNu_scaledown", 264.04361842105266
"WJets_scaledown", 37509
"WJets_scaleup", 37509
"WJets_matchingdown", 37509
"WJets_matchingup", 37509
"TToLeptons_tchannel_aMCatNLO", 84.69
"TToLeptons_tchannel_aMCatNLO_scaledown", 84.69
"TToLeptons_tchannel_aMCatNLO_scaleup", 84.69
